ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
ce406de2-8a43-4f7d-8aa6-324402ea862a,1957-09-07,,999-67-7013,S99936813,X50299814X,Mr.,Alphonse92,Altenwerth646,,,M,white,irish,M,St. Paul,269 Pacocha Meadow Oakdale Minnesota 55042 US
3ff78458-b80e-4c45-9c6f-9417e8f103d6,1968-06-27,,999-41-9189,S99973591,X68491875X,Mr.,Alonso270,Halvorson124,MD,,S,white,irish,M,Minneapolis,249 Kreiger Wall Apt 33 Shakopee Minnesota 55378 US
3c250685-8298-4421-a056-d6ac33f4ea25,2009-04-14,,999-47-6539,,,,Ramona980,Tapia475,,,,black,dominican,F,Hudsonship,728 Mann Terrace Suite 92 Roseville Minnesota 55112 US
85ea5351-15bc-4b0f-a936-e4b052023cf5,1955-07-26,,999-74-4514,S99922069,X18675073X,Ms.,Enda486,Turner526,,,S,white,irish,F,Otsego,504 Mante View Nidarosship Minnesota  US
5ae43941-26c9-4513-b137-4d8f71b3dbb1,2008-08-10,2011-06-26,999-84-4400,,,,Demetria799,Durgan499,,,,white,russian,F,Sauk Rapids,543 Ratke Fork Apt 11 Mahnomen Minnesota 56557 US
e4b4360e-df8b-4819-b811-e996c2aab9a6,1999-09-29,,999-40-5859,S99955948,,Mr.,Leigh689,Blanda868,,,,white,polish,M,Minneapolis,458 Hoppe Neck Unit 51 Eagan Minnesota 55120 US
c615a291-9b10-49a7-9ac0-28d42abd48c8,1974-01-24,,999-68-5172,S99919615,X4362730X,Mrs.,Caryn49,Mosciski958,,West559,M,white,english,F,Lakeville,729 Bednar Stravenue Minneapolis Minnesota 55401 US
d3a1327b-5fae-4829-8ee3-67d69ae1f917,1970-12-02,,999-42-8207,S99986558,X34471959X,Mr.,Devin82,Toy286,,,M,white,german,M,Dexter,686 Mann Union Suite 37 Minneapolis Minnesota 55401 US
f325f070-318b-41ce-8198-e9150531ed10,1960-05-12,,999-48-6080,S99942701,X15889074X,Mr.,Boyce638,Breitenberg711,,,M,white,irish,M,Brooklyn Park,1067 Altenwerth Vista Bloomington Minnesota 55420 US
e4ad6249-6238-4988-8d95-f0000dceb75e,2016-03-15,,999-22-9413,,,,Evan94,Bayer639,,,,white,english,F,Winstedship,496 Tremblay Camp Inver Grove Heights Minnesota 55075 US
7160d381-b668-4b19-8c01-7b76703dbf85,1961-03-14,,999-71-3997,S99986085,X39524824X,Ms.,Cierra898,Metz686,,,S,white,polish,F,Mounds View,697 Schuster Wynd Suite 47 Sharonship Minnesota  US
8c9cdbca-777a-47ac-9cb4-e6cd370a3709,1957-09-02,,999-44-6020,S99967779,X82065851X,Mr.,Robby860,Heidenreich818,,,M,white,irish,M,Stillwatership,212 Mosciski Fork Suite 52 Monticello Minnesota 55362 US
04ce34a6-a5a8-4de3-921b-6b7bea85e545,2004-07-09,2005-04-29,999-27-7511,,,,Otha286,Lebsack687,,,,asian,chinese,F,Osseo,883 Fritsch Branch Unit 42 St. Paul Minnesota 55101 US
8356e115-5363-4ed8-8d3a-e85b0df8c71a,2005-05-13,,999-22-6837,,,,Marvel321,Wiegand701,,,,white,irish,F,North Mankato,1074 Ernser Lock Numedalship Minnesota  US
f35b3bcb-c2af-44a8-b49f-4ea2672158f6,2006-04-30,,999-74-1919,,,,Angila948,Hauck852,,,,white,german,F,Arvesonship,447 Smith Knoll Pelican Rapids Minnesota 56572 US
ee317bf3-d0dd-4a73-a97a-b9328db24a55,2014-05-22,,999-35-5239,,,,Vanita165,Sipes176,,,,white,polish,F,Anoka,957 Yost Trace Unit 34 Independence Minnesota 55328 US
f2618565-8220-4d5f-9493-7da091c06078,2009-11-20,,999-91-7838,,,,Ayako221,Dibbert990,,,,asian,chinese,F,Marshall,151 Will Key Suite 46 St. Paul Minnesota 55101 US
7379fd9a-87f9-4390-8827-09dffe5707d3,1989-04-16,,999-70-5493,S99998074,X58584101X,Mr.,Eliseo499,Prohaska837,,,M,white,irish,M,St. Paul,266 Fisher Quay Chisago City Minnesota 55013 US
bf948a5c-2bbb-448b-959d-2144cb99ee62,1979-08-07,,999-19-5516,S99947577,X6453398X,Ms.,Glynis780,Boyle917,,,S,white,italian,F,St. Paul,210 Heathcote Rest Mahnomen Minnesota 56557 US
9118397b-9fcf-43d0-83f4-13b11c170e91,1991-10-17,,999-54-7189,S99978927,X34347236X,Ms.,Kaitlyn96,Ferry570,,,,white,italian,F,Bloomington,996 Treutel Terrace Buffalo Minnesota 55313 US
4154eae6-393c-483d-8678-3a8efdf5b5cf,1991-08-30,,999-63-6163,S99953085,X45210851X,Ms.,Rhea34,Welch179,,,,white,italian,F,Harrisship,996 Wehner Drive Babbitt Minnesota 55706 US
2c3e5eb8-dbc7-47c7-96fd-39de1e6879d6,1933-09-10,,999-87-2246,S99987811,X4514488X,Mrs.,Ona426,Bednar518,,Little434,M,white,french_canadian,F,St. Paul,598 Ledner Well Unit 74 Minneapolis Minnesota 55401 US
5c8998ea-87fa-4cb2-992a-195ae8a11537,1998-05-17,,999-69-4657,S99915014,,Mr.,Yong583,Kling921,,,,white,irish,M,St. Paul,690 Robel Forge Apt 25 Duluth Minnesota 55802 US
c85139c6-c766-4278-91ae-7a5584e24046,1966-07-25,,999-96-5103,S99929973,X8657008X,Mr.,Howard613,Bartell116,,,M,asian,chinese,M,Derrynaneship,329 Grady Overpass St. Paul Minnesota 55101 US
3a568dcb-9282-47de-9aba-39ee9d19c864,2007-09-02,,999-50-5503,,,,Desmond566,Smitham825,,,,native,american_indian,M,Wheaton,858 Effertz Flat Unit 5 Sylvanship Minnesota  US
049c49c2-4d66-47c3-988f-18b777c32ad0,1972-12-09,,999-24-6144,S99960223,X46565758X,Mrs.,Joey457,Ankunding277,,Stark857,M,white,russian,F,Bayport,527 Moore Ville Apt 66 Bloomington Minnesota 55420 US
d07ad4ac-26c6-4928-8db7-8034e724508c,2016-08-31,,999-25-6648,,,,Ludivina884,Hermiston71,,,,white,portuguese,F,Owatonna,967 Wiza Union Unit 80 Eagan Minnesota 55120 US
6e591125-628a-4733-be06-2b6fc5b94a19,2011-09-10,,999-52-2083,,,,Man114,Rutherford999,,,,white,scottish,M,Credit Rivership,837 Halvorson Street Unit 34 Cottage Grove Minnesota 55016 US
e0a7e69d-55ce-42da-9207-7e3efc6a4951,2010-09-16,,999-86-9043,,,,Gregorio366,Sáenz811,,,,black,dominican,M,Eden Prairie,799 Monahan Vista Roseville Minnesota 55112 US
b5c96dee-162d-400b-9f89-f596d75f59bd,1986-12-07,,999-47-1714,S99989318,X43425055X,Mrs.,Gregoria352,Grimes165,,Jerde200,M,native,american_indian,F,Arden Hills,973 Dickinson Underpass Unit 29 Thomsonship Minnesota  US
e519a6ca-16e0-4438-9df7-ee563808fe4b,1982-04-26,,999-63-6742,S99973840,X10542123X,Mrs.,Li461,Haag279,,Leffler128,M,asian,chinese,F,Cottage Grove,512 Kuphal Light Wyoming Minnesota 55013 US
d168dff9-3dc8-458a-9943-907af6a9b160,2010-01-26,,999-81-5684,,,,Latrice352,Ryan260,,,,white,irish,F,Austin,971 Farrell Vista Madelia Minnesota 56062 US
38c45247-cf0f-4e75-8133-6c6e7c81ffc1,1997-02-15,,999-10-5722,S99993440,X3286756X,Mr.,Lesley194,Schaden604,,,,white,portuguese,M,Apple Valley,278 Ritchie Bypass Unit 52 Golden Valley Minnesota 55411 US
5376cb1f-9f66-4d18-9ebd-67f91c1c9191,1944-08-23,1988-03-30,999-16-7691,S99996786,X51683204X,Mr.,Prince887,Runolfsson901,,,M,white,irish,M,Crystal,811 Koelpin Corner Kasotaship Minnesota  US
e3c65876-ca3d-4d30-b65e-ec21bd32efc1,1996-10-06,,999-53-6215,S99967168,X78370547X,Ms.,Marketta481,Pollich983,,,,white,portuguese,F,St. Joseph,258 Braun Frontage road Maple Lake Minnesota 55358 US
6da59650-579a-4a46-bae4-ac28c7702d73,1942-03-28,,999-24-4236,S99998709,X5774735X,Mr.,Darren774,Pfeffer420,,,M,white,irish,M,Eden Prairie,594 Batz Parade Apt 64 Eden Prairie Minnesota 55344 US
98b15232-b7ed-4b34-9003-50b08362c436,2009-09-22,,999-68-8637,,,,Elliot577,Renner328,,,,white,portuguese,M,Park Rapids,878 Bradtke Track Apt 74 Hibbing Minnesota 55746 US
29cdb5e1-9213-41bf-b328-9a35674e089a,1985-03-19,,999-43-8021,S99927015,X56874668X,Mr.,Chung121,Lockman863,,,S,asian,chinese,M,Albert Lea,504 Lehner Vale Unit 17 St. Paul Minnesota 55101 US
f01ee31f-7c2a-4443-a665-73e550dbc1e5,1960-07-07,,999-64-3039,S99915722,X79714048X,Mrs.,Winifred736,Sanford861,,Abbott774,M,white,english,F,Canosiaship,241 Ziemann Divide Hopkins Minnesota 55305 US
dce12aff-1d7f-4cce-a723-fb1ba2e53d9d,1964-06-03,,999-80-6435,S99963969,X87126809X,Mr.,Carmelo33,Stark857,,,M,white,portuguese,M,St. Paul,731 Schneider Station Unit 23 St. Cloud Minnesota 55320 US
5b496e86-c14a-433a-8392-75e3429018d6,2016-05-27,,999-36-7241,,,,Benedict104,McDermott739,,,,asian,asian_indian,M,Grand Lakeship,999 Rowe Arcade Suite 61 St. Paul Minnesota 55101 US
9a390e05-72ee-4a16-974f-c6f400b41797,1989-12-30,,999-63-3560,S99981071,X6719023X,Mr.,Darius626,O'Kon634,,,M,white,american,M,North St. Paul,443 Crooks Ranch Brainerd Minnesota 56401 US
2fab1027-a89a-40eb-a038-3f3078561d81,1953-12-18,1991-03-08,999-34-5550,S99926827,X87779714X,Mrs.,Mardell937,Reichert620,,Hoppe518,M,white,irish,F,Eagan,904 Runolfsdottir Gateway Kasotaship Minnesota  US
317e3334-4588-48fb-b887-d299ca88ae02,2012-06-30,,999-34-6918,,,,Florencia449,Heaney114,,,,white,italian,F,Morgan,1020 Mante Heights Columbia Heights Minnesota 55421 US
957b9b08-9e79-49d4-9379-0bb492b1496c,1954-10-31,,999-30-7902,S99942517,X62289440X,Mr.,Louis204,Sanford861,,,M,native,american_indian,M,Bloomington,971 Gulgowski Vale Apt 48 Virginia Minnesota 55734 US
b4e1941d-e941-4312-8758-6e8620e92b8c,1969-08-11,,999-37-8047,S99952844,X67922226X,Mr.,Paul232,Bartell116,,,M,white,american,M,Bloomington,242 Schamberger Port Apt 64 Maplewood Minnesota 55106 US
02fbe684-a6a6-4409-b22e-b6c9d1c1a594,1938-10-01,,999-53-1002,S99995581,X8449121X,Mrs.,Willena258,Barton704,,Wolf938,M,white,irish,F,Elko New Market,500 Oberbrunner Well Unit 45 Montevideo Minnesota 56265 US
63c9025d-5ba8-4847-a2b4-1e5abed65ef5,1956-08-03,,999-55-3538,S99948508,X11848576X,Mr.,Irwin931,Nitzsche158,,,M,white,portuguese,M,Oak Lawnship,198 Feeney Brook Rochester Minnesota 55901 US
9892768a-7dec-456f-8fdb-d9404c73c527,1953-05-16,,999-52-8236,S99959383,X85027245X,Mr.,Spencer878,Heathcote539,,,S,white,italian,M,Kanabecship,943 Mann Road Suite 51 Coon Rapids Minnesota 55304 US
25a868bf-4ec5-4b8e-8cba-301e2c4cbb3b,1958-07-07,,999-83-6119,S99956149,X74700431X,Mrs.,Terry864,Hegmann834,,Jerde200,M,white,irish,F,Brooklyn Park,631 Legros Estate Harrisship Minnesota  US
6ac70a0c-0b0e-4acc-9911-ab1529878c4f,1997-10-31,,999-57-6645,S99918365,X35832533X,Ms.,Antonia30,Haro814,,,,black,dominican,F,Spencership,584 Rutherford Track St. Paul Minnesota 55101 US
f0442584-8131-4f60-8318-2c911d861530,2001-10-17,,999-96-8691,S99946168,,,Mayola305,Kilback373,,,,white,german,F,Rochester,757 Cummerata Dale Unit 48 Arden Hills Minnesota 55112 US
c036c146-d28b-4233-b267-2d205b3cf2e8,2009-05-21,,999-33-6810,,,,Mark765,Schinner682,,,,white,polish,M,Belle Plaine,284 Weber Key Albert Lea Minnesota 56007 US
7d9f1e64-613c-4c2b-9745-75ad944fbfeb,2007-08-26,,999-51-3577,,,,Jerry654,O'Keefe54,,,,white,english,M,Rochester,665 Mertz Wynd Minneapolis Minnesota 55401 US
42de3dc3-14ae-458f-8ede-d16f5e8926ec,1970-10-22,,999-88-6462,S99927120,X66970741X,Mr.,Lesley194,Towne435,,,M,asian,chinese,M,St. Paul,493 Hills Burg St. Paul Minnesota 55101 US
10595b47-3032-458e-9564-7dfd6e0bb913,1996-11-20,,999-65-3528,S99965065,X43057438X,Ms.,Josie226,Hammes673,,,,white,scottish,F,Owatonna,839 Ullrich Walk Dilworth Minnesota 56529 US
ef3a683a-7cc1-41ad-bd95-b5df0d802fb4,1962-11-23,,999-77-9104,S99938821,X3032058X,Mrs.,Nelle766,Roob72,,Baumbach677,M,asian,asian_indian,F,Nowthen,1058 McGlynn Glen Apt 71 Kasotaship Minnesota  US
b18b6746-068c-42e6-b8ce-c715e671458f,1971-06-05,,999-75-7575,S99934318,X4323297X,Mr.,Deangelo7,Zulauf375,,,M,white,italian,M,Barryship,578 Hudson Passage Edina Minnesota 55343 US
3d98bebd-28b5-4998-9e7b-d4acd5597b20,1993-09-22,,999-56-4536,S99923556,X89268580X,Ms.,Hulda44,Feest103,,,,white,english,F,Minneapolis,1080 Roberts Rapid Suite 30 St. Cloud Minnesota 55320 US
05c8fb4b-6e13-479f-bc09-4aebba1d0290,2017-09-12,,999-81-1492,,,,Jesenia223,Bartell116,,,,white,italian,F,Eden Prairie,120 Weimann Mews Suite 25 Eagle Bend Minnesota 56446 US
258e274a-74b3-4a05-bd2d-a4aa9858c470,1978-06-03,,999-91-7209,S99916302,X29679279X,Mrs.,Lise687,Strosin214,,McLaughlin530,M,white,italian,F,Carimonaship,297 Sawayn Gate Byron Minnesota 55920 US
09e4de12-65a1-4d74-89f1-a16c3fc0a0ea,1980-09-07,,999-39-6076,S99968744,X16796178X,Mr.,Vincent299,Hermann103,,,M,white,irish,M,Shafer,971 Stark Byway Elk River Minnesota 55330 US
7a8f99fb-bf30-49e6-8833-2922b01351cc,1994-08-29,,999-45-3457,S99925471,X58940019X,Ms.,Heather971,Lesch175,,,,white,italian,F,Vadnais Heights,669 Collier Bay Rochester Minnesota 55901 US
252302db-799b-4b6f-82b7-5ef6d1b99e4d,1954-11-13,,999-37-9796,S99928507,X32002178X,Mr.,Howard613,Schmidt332,,,M,white,irish,M,Robbinsdale,846 Bradtke Dam St. Cloud Minnesota 55320 US
31bdf87c-408b-42e4-84bc-b7630d4aa659,1961-03-27,2016-03-22,999-62-9650,S99978656,X59401482X,Mr.,Tracey100,Rempel203,,,M,white,american,M,Coon Rapids,1086 Hackett Grove Apt 15 Big Lakeship Minnesota  US
7f7c3b80-1f72-4afa-b71b-2cb432b72fa3,1955-04-18,,999-96-5398,S99961430,X81376307X,Ms.,Rosa195,Littel644,,,S,white,american,F,St. Paul,862 Homenick Wall Apt 13 Moorhead Minnesota 56529 US
19242a31-b39a-48d1-a46e-a90794fd4cc6,1940-09-17,,999-74-4500,S99930432,X5208634X,Ms.,Hilaria948,Dooley940,,,S,white,irish,F,Minneapolis,556 Hirthe Underpass Apt 42 Eagle Valleyship Minnesota  US
2f3b875a-f633-4c3f-88ad-4c7b1784b74b,1970-12-24,,999-33-9572,S99944473,X11673814X,Mrs.,Refugio197,Goodwin327,,Jacobi462,M,asian,chinese,F,Coon Rapids,579 Grady Parade Zimmerman Minnesota 55398 US
0e183b2c-47f1-4a90-897e-180bd7518428,1957-03-29,,999-65-7558,S99948496,X29649902X,Mr.,Malcom15,Kihn564,,,M,asian,chinese,M,Richfield,953 Dicki Light St. Paul Minnesota 55101 US
caf6c309-7247-4b48-b9dc-7d64819c0fca,1989-09-11,,999-67-4936,S99967745,X50222527X,Mrs.,Camille85,Kuhlman484,,Braun514,M,white,irish,F,Eden Prairie,867 Hackett Path Golden Valley Minnesota 55411 US
08f60e4a-2943-421c-8224-9f06dba84e4c,1986-09-05,,999-26-8178,S99957263,X30880097X,Mr.,Ignacio928,Hills818,,,M,white,italian,M,Shoreview,701 Rodriguez Highlands Red Wing Minnesota 55066 US
de74b228-abbf-451e-b57f-cfe29d47683c,1989-04-26,,999-89-7545,S99999760,X76112510X,Mr.,Lorenzo669,Gottlieb798,,,S,white,english,M,St. Paul,942 Fisher Hollow Suite 39 Money Creekship Minnesota  US
e11c1f63-3137-48b4-b688-9113f08bf54c,1986-04-24,,999-12-3443,S99967666,X42228589X,Mr.,Wilfredo622,Bechtelar572,,,M,white,italian,M,Cottage Grove,647 Ebert Walk Burnsville Minnesota 55044 US
a25484b8-3608-41bd-9e26-20b20f366656,1965-12-28,,999-86-5637,S99958630,X59891696X,Mr.,Danial835,Reynolds644,,,S,white,italian,M,Silver Bay,130 Schmeler Neck Suite 70 Big Lakeship Minnesota  US
2f31dbb9-84d4-4724-85dd-a266db5b73f1,2009-02-26,,999-24-9694,,,,Sari509,Kirlin939,,,,white,french,F,Minneapolis,484 Streich Route Minneapolis Minnesota 55401 US
f8231368-77bf-415a-8867-92ba6e107841,1968-12-06,,999-19-9633,S99998877,X60757708X,Mr.,Cruz300,Johns824,,,M,white,english,M,Tamaracship,549 Ward Lock Suite 9 Crow Wingship Minnesota  US
ec3436f8-181c-4b64-a36c-32878bc0f912,1982-02-03,,999-65-9362,S99941160,X45345803X,Mrs.,Ja391,Reichel38,,Hintz995,M,white,german,F,Minneapolis,817 Harvey Road Apt 96 Burnsville Minnesota 55044 US
af0535c7-5453-47f5-9d58-68ab64c6103f,1977-07-07,,999-74-3918,S99945462,X76225604X,Mr.,Rob341,Larkin917,,,M,white,italian,M,Rochester,614 Wyman Bypass Suite 37 Long Lakeship Minnesota  US
8ec8d4d0-2c4f-40f9-ae4b-49b2c2cce937,1959-02-21,,999-91-6002,S99955446,X1437442X,Mrs.,Particia365,Corkery305,,Reynolds644,M,white,american,F,Minnetonka,342 Parisian Junction Suite 50 Rockfordship Minnesota  US
23eb2b79-3b59-4597-aa74-6a81c7f1b461,2008-07-21,,999-35-2943,,,,Justin359,Wiegand701,,,,white,swedish,M,Orono,1043 Lind Junction Suite 50 Lakeville Minnesota 55024 US
fc648718-fdd6-49b4-8f98-1b3b9124ab55,1963-05-25,2017-06-24,999-81-1462,S99938317,X64079348X,Mr.,Forest317,Gleichner915,,,M,white,polish,M,Warroad,356 Walker Frontage road Unit 18 Forest Lake Minnesota 55025 US
11889e1f-99ec-4b37-96b5-6679a8f885c3,1954-03-20,1995-10-10,999-66-7215,S99997228,X81019423X,Mr.,Eldridge510,Bins636,,,S,white,italian,M,St. Paul,208 Murazik Bridge South St. Paul Minnesota 55075 US
23545c8c-02f0-4d46-a73b-c32f688ebaf2,1958-07-18,,999-23-4672,S99970025,X71296075X,Ms.,Lillie543,Wiegand701,,,S,black,african,F,Mendota Heights,578 Hessel Terrace Stillwater Minnesota 55082 US
705515c0-4691-4743-8a60-c5d4b1604294,1958-02-20,,999-36-5248,S99933994,X8527825X,Mr.,Allen322,Simonis280,,,S,white,french,M,Lakeville,179 Thompson Approach Prior Lake Minnesota 55352 US
0db79bf9-75c8-4b15-873b-7368887429b9,1938-08-26,2011-07-08,999-36-2706,S99979075,X17290243X,Mrs.,Olga567,Leffler128,,Grimes165,M,white,italian,F,St. Paul,425 Hilpert Park Cottage Grove Minnesota 55016 US
d145c377-56f5-4839-9167-bcb1c2f34ba6,1944-10-25,2012-02-01,999-32-1161,S99933384,X17851419X,Mr.,Augustus49,Will178,,,M,white,italian,M,St. Louis Park,925 Hauck Corner Delano Minnesota 55328 US
c352cdc7-e12f-40d5-b12e-6be54b37bcbe,1980-09-04,,999-60-9101,S99936923,X11208200X,Ms.,Carol737,Treutel973,,,S,white,french,F,St. Paul,123 White Hollow Minneapolis Minnesota 55401 US
8e293ce1-4cc2-4113-ba4d-4411cfb18964,1970-06-17,,999-99-6005,S99968467,X66681583X,Mrs.,Pricilla716,Heaney114,,Beier427,M,white,irish,F,Minneapolis,529 Barrows Arcade Unit 80 Forest Lake Minnesota 55025 US
8db4ef66-cd01-4164-80a3-484b19f4f732,1925-07-31,2013-11-08,999-47-7553,S99943972,X34647928X,Mr.,Sonny285,Lesch175,,,M,white,italian,M,Watertown,880 Altenwerth Loaf Apt 1 Belle Plaine Minnesota 56011 US
04e70ca2-77ea-4d30-8595-50e12c6a1423,1963-04-01,2014-12-08,999-31-6260,S99917676,X60121196X,Mr.,Nicolás801,Núñez242,,,M,hispanic,puerto_rican,M,Bloomington,393 Kihn Approach South St. Paul Minnesota 55075 US
c6dc471b-2151-45b0-82dc-aacc9f33455e,1995-11-19,,999-84-3260,S99980972,X79891380X,Ms.,Jeanelle736,Bergnaum523,,,,hispanic,south_american,F,New Ulm,996 Hoppe Annex St. James Minnesota 56081 US
8e45d9c7-c0e8-451b-b463-b9dfe88b4f3d,1974-01-22,,999-47-5053,S99979441,X18504833X,Mr.,Tommie457,Gaylord332,,,M,white,italian,M,Rosemount,148 Ferry Rest Delano Minnesota 55328 US
bf62e9c6-67d0-49a9-b751-68d2eb81ca12,1993-06-30,,999-61-4115,S99954659,X75213273X,Ms.,Lolita963,Wolff180,,,,white,french,F,Coon Rapids,818 Kiehn Harbor Unit 64 Lakeville Minnesota 55024 US
a3fef4e4-c446-4cdd-9dd0-e9f9cf90ac8b,1970-03-29,,999-29-3038,S99952792,X37610758X,Mrs.,Blythe746,Brakus656,,Gottlieb798,M,white,portuguese,F,Red Wing,559 Barrows Plaza Cottage Grove Minnesota 55016 US
f5eb96cb-3972-4a22-918b-6b2a3ee9d3c1,1953-02-11,2016-12-07,999-31-8210,S99962229,X85805877X,Mrs.,Love546,Keebler762,,Luettgen772,M,white,irish,F,Bigforkship,248 Johnson Gate Coleraine Minnesota 55709 US
1541f766-fc18-4ba6-98e6-4c869e991bb0,1990-08-23,,999-35-5232,S99959223,X60853228X,Mrs.,Anissa357,Runte676,,Volkman526,M,asian,chinese,F,Minneapolis,230 Walter Dam Unit 48 Belle Plaine Minnesota 56011 US
7e62bdf3-32d7-4e85-a5e7-6434685eb8e4,1972-05-25,,999-41-3605,S99976609,X29131749X,Mr.,Giovanni385,Mills423,,,S,white,irish,M,East Grand Forks,903 Doyle Glen South St. Paul Minnesota 55075 US
cd1cba9e-d955-45d8-8658-24d03cdc9744,2015-02-26,,999-87-1954,,,,Sherlene302,Green467,,,,white,english,F,Woodvilleship,1081 Friesen Station Suite 70 Coleraine Minnesota 55709 US
4ac37197-ab6a-4a5d-a99c-dae1c61eedac,1979-12-10,,999-48-7112,S99976823,X19724081X,Mrs.,Micah422,Dibbert990,,Adams676,M,black,african,F,Wyoming,863 Bosco Wynd Suite 74 St. Louis Park Minnesota 55343 US
0b91abd1-3122-47ff-80ee-74d2c1662414,2010-05-05,,999-31-6193,,,,Bryon392,Fay398,,,,white,irish,M,Newport,980 Sauer Center Apt 68 North Branch Minnesota 55032 US
dcc14cf5-cb31-42d4-a7d3-5d18a7b19543,1981-08-18,,999-65-5253,S99968601,X58270988X,Mr.,Ronald408,Mills423,,,M,asian,asian_indian,M,Sylvanship,164 Swift Burg St. Paul Minnesota 55101 US
01e57756-9f20-4c18-a0f3-0412f3034a0f,1973-12-07,,999-40-7865,S99926683,X86867083X,Mr.,Gene733,Rath779,,,M,white,irish,M,Mora,314 Leannon Estate Cedar Lakeship Minnesota  US
e11055e1-c99d-484e-987b-d3cb530c6f5c,1972-02-16,,999-98-9427,S99922973,X52910410X,Ms.,Sherilyn598,Trantow673,,,S,white,italian,F,Rosemount,374 Sanford Divide Suite 53 South Haven Minnesota 55382 US
ddcfa6d3-7bb2-49d2-87d3-f64c7fd9c42d,1989-01-09,,999-30-6437,S99990949,X21129680X,Mrs.,France571,Corwin846,,Robel940,M,white,french,F,Brunswickship,983 Metz Divide Hardwick Minnesota 56134 US
c6d529ae-6de3-4c01-9a94-f29f8029cfab,1992-04-19,,999-69-1241,S99940646,X78844463X,Mr.,Wilfred787,Upton904,,,,white,french,M,Glencoe,564 Jacobi Quay Unit 12 Ravennaship Minnesota  US
